"univ_name";"city";"total_number"
"University of Montana";"Missoula";85
"University of Nebraska--Lincoln";"Lincoln";121
"University of Nevada--Reno";"Reno";42
"University of New Hampshire";"Durham";133
"University of New Mexico";"Albuquerque";481
"University of North Carolina--Chapel Hill";"Chapel Hill";210
"University of North Carolina--Charlotte";"Charlotte";148
"University of North Dakota";"Grand Forks";42
"University of Notre Dame";"Notre Dame";154
"University of Oklahoma";"Norman";90
"University of Oregon";"Eugene";168
"University of Pennsylvania";"Philadelphia";133
"University of Pittsburgh";"Pittsburgh";105
"University of Rhode Island";"Kingston";112
"University of Rochester";"Rochester";89
"University of San Diego";"San Diego";66
"University of San Francisco";"San Francisco";39
"University of South Carolina";"Columbia";226
"University of South Dakota";"Vermillion";26
"University of South Florida";"Tampa";159
"University of Southern California";"Los Angeles";147
"University of Southern Mississippi";"Hattiesburg";49
"University of St. Thomas";"St. Paul";10
"University of Tennessee";"Knoxville";180
"University of Texas--Austin";"Austin";151
"University of Texas--Dallas";"Richardson";40
"University of the Pacific";"Stockton";49
"University of Tulsa";"Tulsa";73
"University of Utah";"Salt Lake City";374
"University of Vermont";"Burlington";152
"University of Virginia";"Charlottesville";171
"University of Washington";"Seattle";213
"University of Wisconsin--Madison";"Madison";217
"University of Wyoming";"Laramie";79
"Utah State University";"Logan";56
"Vanderbilt University";"Nashville";137
"Villanova University";"Villanova";50
"Virginia Commonwealth University";"Richmond";157
"Virginia Tech";"Blacksburg";0
"Wake Forest University";"Winston-Salem";136
"Washington State University";"Pullman";173
"Washington University in St. Louis";"St. Louis";191
"West Virginia University";"Morgantown";96
"Western Michigan University";"Kalamazoo";139
"Widener University";"Chester";23
"Worcester Polytechnic Institute";"Worcester";8
"Yale University";"New Haven";254
"Yeshiva University";"New York";52
"Binghamton University--SUNY";"Binghamton";76
"University at Albany--SUNY";"Albany";126
